Class,Binomial,Population_Count,High_Risk_Populations,Median_Log_Trend,Mean_Log_Trend,Regions,High_Risk_Share
Actinopteri,Gadus_chalcogrammus,20,4,0.3351544136428808,0.18687596039245263,"Asia, North America",0.2
Mammalia,Ursus_arctos,30,6,0.4967670035512534,0.574583163111282,"Asia, Europe, North America",0.2
Reptilia,Chelonia_mydas,31,6,0.6184495356122461,0.6986702561875514,"Africa, Asia, Latin America and Caribbean, North America, Oceania",0.1935483870967742
Actinopteri,Cyclopterus_lumpus,26,5,-0.08722410197562336,-0.07041557036389225,"Europe, North America",0.19230769230769232
Aves,Larus_ridibundus,26,5,0.19625402200292852,0.6005676857570101,"Africa, Asia, Europe",0.19230769230769232
Actinopteri,Hemitripterus_americanus,21,4,-0.050786668032663,-0.11431176123506907,North America,0.19047619047619047
Aves,Mergus_serrator,21,4,0.0019821612039912,0.3878863793746632,"Asia, Europe, North America",0.19047619047619047
Aves,Gavia_stellata,21,4,0.0909717782057266,0.17572395564928694,"Asia, Europe, North America",0.19047619047619047
Aves,Anas_platyrhynchos,42,8,0.19064098653188855,0.27515577115608264,"Africa, Asia, Europe, Latin America and Caribbean, North America",0.19047619047619047
Aves,Himantopus_himantopus,21,4,0.949080554697146,1.097689134995416,"Africa, Asia, Europe, North America, Oceania",0.19047619047619047
Actinopteri,Oncorhynchus_nerka,53,10,0.8753949556738583,0.9429192330650633,"Asia, North America",0.18867924528301888
Aves,Anas_crecca,32,6,0.0013654992556158,0.1521210440204216,"Africa, Asia, Europe, Latin America and Caribbean, North America",0.1875
Elasmobranchii,Prionace_glauca,27,5,-0.1384824515576301,-0.09217260945173453,"Asia, Europe, International Waters, Latin America and Caribbean, North America",0.18518518518518517
Actinopteri,Oncorhynchus_gorbuscha,22,4,0.8506982596571526,0.6009354218040968,"Asia, North America",0.18181818181818182
Aves,Anser_anser,33,6,1.2333250163384637,1.3242810823959983,"Africa, Asia, Europe",0.18181818181818182
Aves,Pygoscelis_papua,50,9,0.02167375208555385,0.28387595152594153,"Africa, Antarctic, Latin America and Caribbean",0.18
Mammalia,Vulpes_vulpes,23,4,-0.0555698511548107,-0.04669498845299502,"Asia, Europe, North America",0.17391304347826086
Aves,Larus_argentatus,23,4,0.3658283259252197,0.5490362595610572,Europe,0.17391304347826086
Aves,Larus_fuscus,23,4,1.1842677332466032,1.4171058080650605,"Africa, Europe",0.17391304347826086
